customer_id,first_name,last_name,date_of_birth,gender,city,state,customer_since,kyc_status,segment,annual_income,credit_score,is_active
C000001,Steven,Davis,1981-07-21,Male,Memphis,TN,2018-05-08,Verified,Retail,286275,824,Yes
C000002,Brenda,Taylor,1980-04-20,Male,Albuquerque,NM,2019-07-13,Pending,Student,216509,749,Yes
C000003,Xiao,Green,1959-07-04,Male,Indianapolis,IN,2014-09-04,Failed,Business,77992,805,No
C000004,Carol,Lewis,1960-12-13,Non-binary,Baltimore,MD,2018-06-16,Partial,Wealth,82660,579,Yes
C000005,Vijay,Jung,1987-01-26,Non-binary,Virginia Beach,VA,2011-01-30,Failed,Business,244918,559,No
C000006,Andrew,Hall,1993-09-06,Non-binary,Oklahoma City,OK,2018-04-22,Partial,Student,190978,581,Yes
C000007,Jason,Koné,1965-10-30,Non-binary,Pittsburgh,PA,2021-06-03,Pending,Student,213495,517,Yes
C000008,Cynthia,Wu,1999-09-23,Male,Baltimore,MD,2020-03-28,Failed,Senior,172654,849,No
C000009,Benjamin,Kim,1957-07-06,Female,Fresno,CA,2015-09-15,Partial,Retail,63644,537,Yes
C000010,Andrew,Patel,1974-10-14,Non-binary,Tucson,AZ,2018-04-02,Pending,Retail,89187,536,Yes
C000011,Laura,Kim,1984-08-17,Non-binary,Colorado Springs,CO,2023-06-12,Failed,Business,69535,706,No
C000012,Alexander,Smith,1975-02-13,Male,Memphis,TN,2012-01-11,Verified,Senior,291127,769,Yes
C000013,Sandra,Kim,1994-12-29,Non-binary,Minneapolis,MN,2020-12-19,Verified,Wealth,188796,584,Yes
C000014,Sharon,Gonzalez,1991-07-03,Non-binary,San Antonio,TX,2013-08-12,Pending,Student,125245,752,Yes
C000015,Donald,Mbeki,1990-02-07,Male,Chicago,IL,2022-07-05,Verified,Senior,50158,758,Yes
C000016,Dorothy,Lee,1987-01-13,Male,Minneapolis,MN,2020-01-05,Verified,Retail,165162,732,No
C000017,Donald,Wright,1995-05-26,Female,Jacksonville,FL,2022-09-03,Verified,Senior,264542,726,Yes
C000018,Ryan,Wu,1960-11-04,Male,Nashville,TN,2021-08-14,Pending,Student,265386,591,Yes
C000019,Christopher,Campbell,1964-05-29,Female,Indianapolis,IN,2018-03-19,Verified,Student,109578,842,Yes
C000020,Thomas,Zhang,1991-09-02,Non-binary,Aurora,CO,2018-07-22,Verified,Retail,38814,759,Yes
C000021,Isabella,Nelson,1984-09-30,Non-binary,Anchorage,AK,2012-12-21,Failed,Premium,112565,600,No
C000022,Ethan,Clark,1985-04-18,Female,Santa Ana,CA,2016-11-09,Verified,Business,107654,849,Yes
C000023,Nicole,Martinez,1958-01-08,Non-binary,Denver,CO,2012-05-09,Verified,Student,181869,619,Yes
C000024,Rahul,Garcia,1999-11-22,Non-binary,Colorado Springs,CO,2018-07-25,Partial,Business,277792,609,Yes
C000025,Gary,Lee,1995-07-28,Female,Portland,OR,2014-11-26,Verified,Business,161753,620,Yes
C000026,Amanda,Roberts,1999-03-15,Female,Kansas City,MO,2019-08-25,Failed,Student,136594,712,No
C000027,Maria,Carter,1966-02-14,Female,St. Louis,MO,2013-04-20,Failed,Premium,60652,754,No
C000028,Ryan,Wilson,1999-08-14,Male,Mesa,AZ,2023-11-29,Partial,Retail,149146,589,Yes
C000029,William,Kim,1989-04-16,Male,Fort Worth,TX,2014-08-07,Failed,Senior,227881,676,No
C000030,Melissa,Kim,1967-02-20,Male,San Antonio,TX,2016-05-31,Partial,Student,227936,671,Yes
C000031,Ryan,Scott,1988-12-19,Female,Kansas City,MO,2012-05-19,Partial,Premium,103779,566,Yes
C000032,Linda,Torres,1970-03-07,Male,Portland,OR,2023-07-26,Partial,Premium,175959,612,Yes
C000033,Ronald,Rivera,1962-08-03,Female,Denver,CO,2022-10-01,Partial,Business,218301,598,Yes
C000034,Lisa,Clark,1990-04-16,Non-binary,Indianapolis,IN,2020-01-26,Pending,Retail,78283,526,Yes
C000035,Fang,Mitchell,2000-04-06,Female,St. Louis,MO,2023-12-23,Pending,Wealth,288027,600,Yes
C000036,Amit,Gonzalez,1988-09-16,Male,Tucson,AZ,2020-06-23,Verified,Senior,92030,656,Yes
C000037,Jessica,Mensah,1961-10-16,Male,Jacksonville,FL,2011-07-27,Verified,Business,286631,620,Yes
C000038,John,Osei,1998-10-29,Non-binary,Atlanta,GA,2018-05-18,Partial,Premium,184805,549,Yes
C000039,Priya,Li,1961-07-18,Non-binary,Columbus,OH,2023-03-31,Verified,Retail,88774,628,Yes
C000040,James,Osei,1968-07-02,Non-binary,Riverside,CA,2011-06-06,Failed,Senior,96563,525,No
C000041,Benjamin,Mbeki,1959-03-27,Male,New Orleans,LA,2017-02-19,Partial,Retail,162440,780,Yes
C000042,Lei,Koné,1996-04-07,Non-binary,Washington,DC,2020-05-02,Failed,Student,74913,542,No
C000043,Patrick,Williams,1974-07-19,Non-binary,Chicago,IL,2013-10-24,Partial,Wealth,284703,810,Yes
C000044,Barbara,Kumar,1995-05-27,Female,Dallas,TX,2017-09-01,Partial,Wealth,183856,659,Yes
C000045,Carolyn,Scott,1959-08-25,Non-binary,Mesa,AZ,2017-10-26,Pending,Premium,130939,687,Yes
C000046,Justin,Mensah,1981-11-15,Female,Las Vegas,NV,2018-07-22,Verified,Premium,110961,646,Yes
C000047,Patricia,Wang,1973-07-30,Male,Riverside,CA,2010-10-28,Failed,Premium,87473,755,No
C000048,Dorothy,Smith,1974-03-04,Female,Kansas City,MO,2011-04-04,Failed,Retail,297987,840,No
C000049,Amy,Taylor,1968-07-07,Male,Tampa,FL,2022-08-09,Pending,Business,87662,677,Yes
